name,genre,score,star
The Shining,Drama,8.4,Jack Nicholson
The Blue Lagoon,Adventure,5.8,Brooke Shields
Star Wars: Episode V - The Empire Strikes Back,Action,8.7,Mark Hamill
Airplane!,Comedy,7.7,Robert Hays
Caddyshack,Comedy,7.3,Chevy Chase
Friday the 13th,Horror,6.4,Betsy Palmer
The Blues Brothers,Action,7.9,John Belushi
Raging Bull,Biography,8.2,Robert De Niro
Superman II,Action,6.8,Gene Hackman
The Long Riders,Biography,7.0,David Carradine
Any Which Way You Can,Action,6.1,Clint Eastwood
The Gods Must Be Crazy,Adventure,7.3,N!xau
Popeye,Adventure,5.3,Robin Williams
Ordinary People,Drama,7.7,Donald Sutherland
Dressed to Kill,Crime,7.1,Michael Caine
Somewhere in Time,Drama,7.2,Christopher Reeve
Fame,Drama,6.6,Eddie Barth
9 to 5,Comedy,6.9,Jane Fonda
The Fog,Horror,6.8,Adrienne Barbeau
Stir Crazy,Comedy,6.8,Gene Wilder
Cruising,Crime,6.5,Al Pacino
Heaven's Gate,Adventure,6.8,Kris Kristofferson
The Final Countdown,Action,6.7,Kirk Douglas
Xanadu,Fantasy,5.3,Olivia Newton-John
Urban Cowboy,Drama,6.4,John Travolta
Altered States,Horror,6.9,William Hurt
Little Darlings,Comedy,6.5,Tatum O'Neal
Raise the Titanic,Action,5.0,Jason Robards
Brubaker,Crime,7.2,Robert Redford
American Gigolo,Crime,6.2,Richard Gere
My Bodyguard,Comedy,7.1,Chris Makepeace
Prom Night,Horror,5.4,Leslie Nielsen
Smokey and the Bandit II,Action,5.3,Burt Reynolds
Cattle Annie and Little Britches,Drama,6.1,Scott Glenn
Seems Like Old Times,Comedy,6.7,Goldie Hawn
Private Benjamin,Comedy,6.2,Goldie Hawn
The Hollywood Knights,Comedy,6.3,Tony Danza
Motel Hell,Comedy,6.0,Rory Calhoun
The Jazz Singer,Drama,5.9,Laurence Olivier
Coal Miner's Daughter,Biography,7.5,Sissy Spacek
The Watcher in the Woods,Family,6.3,Bette Davis
Breaker Morant,Drama,7.9,Edward Woodward
The Stunt Man,Action,7.1,Peter O'Toole
Where the Buffalo Roam,Biography,6.6,Peter Boyle
The Awakening,Horror,4.8,Charlton Heston
Cheech and Chong's Next Movie,Comedy,6.1,Cheech Marin
The Island,Action,5.3,Michael Caine
The Boogey Man,Horror,4.6,Suzanna Love
The Nude Bomb,Action,5.1,Don Adams
Lion of the Desert,Biography,8.3,Anthony Quinn
Stardust Memories,Comedy,7.3,Woody Allen
Melvin and Howard,Comedy,6.8,Paul Le Mat
Can't Stop the Music,Biography,4.2,Ray Simpson
Bronco Billy,Action,6.1,Clint Eastwood
City of Women,Comedy,7.0,Marcello Mastroianni
The Private Eyes,Comedy,6.7,Tim Conway
When Time Ran Out...,Action,4.6,Paul Newman
Oh Heavenly Dog,Comedy,5.4,Chevy Chase
The Octagon,Action,5.1,Chuck Norris
Hangar 18,Sci-Fi,5.3,Darren McGavin
Herbie Goes Bananas,Adventure,5.0,Charles Martin Smith
The Competition,Drama,6.7,Richard Dreyfuss
It's My Turn,Comedy,5.5,Jill Clayburgh
Honeysuckle Rose,Drama,6.3,Willie Nelson
Resurrection,Drama,7.3,Ellen Burstyn
Fatso,Comedy,6.3,Dom DeLuise
Moscow Does Not Believe in Tears,Comedy,8.1,Vera Alentova
The Fiendish Plot of Dr. Fu Manchu,Comedy,5.1,Peter Sellers
Serial,Comedy,6.6,Martin Mull
Hero at Large,Comedy,6.0,John Ritter
Wholly Moses!,Comedy,4.7,Dudley Moore
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",Animation,7.3,Scott Beach
In God We Trust (or Gimme That Prime Time Religion),Comedy,5.5,Marty Feldman
Roadie,Comedy,5.2,Meat Loaf
Just Tell Me What You Want,Comedy,5.5,Ali MacGraw
The Last Flight of Noah's Ark,Adventure,5.8,Elliott Gould
Little Miss Marker,Comedy,6.3,Walter Matthau
Willie & Phil,Comedy,5.9,Michael Ontkean
Babylon,Drama,7.4,David N. Haynes
Windwalker,Adventure,6.9,Trevor Howard
Phobia,Drama,4.0,Paul Michael Glaser
Windows,Drama,4.8,Talia Shire
Loving Couples,Comedy,5.2,Shirley MacLaine
The King and the Mockingbird,Animation,7.9,Jean Martin
"Oh, God! Book II",Comedy,5.2,George Burns
"Those Lips, Those Eyes",Comedy,6.5,Frank Langella
La Cage aux Folles II,Comedy,5.8,Michel Serrault
The Gong Show Movie,Comedy,4.3,Chuck Barris
Gilda Live,Comedy,6.8,Gilda Radner
Why Would I Lie?,Comedy,6.5,Treat Williams
First Family,Comedy,4.3,Bob Newhart
Mantis Fist Fighter,Action,6.7,Ka-Yan Leung
Indiana Jones and the Raiders of the Lost Ark,Action,8.4,Harrison Ford
Body Heat,Crime,7.4,William Hurt
An American Werewolf in London,Comedy,7.5,David Naughton
Escape from New York,Action,7.2,Kurt Russell
The Evil Dead,Horror,7.5,Bruce Campbell
Porky's,Comedy,6.2,Dan Monahan
Blow Out,Crime,7.4,John Travolta
Clash of the Titans,Action,6.9,Laurence Olivier
Excalibur,Adventure,7.4,Nigel Terry
Mad Max 2,Action,7.6,Mel Gibson
Das Boot,Adventure,8.3,Jürgen Prochnow
Stripes,Comedy,6.9,Bill Murray
Possession,Drama,7.4,Isabelle Adjani
The Cannonball Run,Action,6.2,Burt Reynolds
Thief,Action,7.4,James Caan
Endless Love,Drama,4.9,Brooke Shields
Time Bandits,Adventure,7.0,Sean Connery
The Four Seasons,Comedy,6.8,Alan Alda
Friday the 13th Part 2,Horror,6.1,Betsy Palmer
Scanners,Horror,6.8,Jennifer O'Neill
For Your Eyes Only,Action,6.7,Roger Moore
Halloween II,Horror,6.5,Jamie Lee Curtis
Taps,Drama,6.8,George C. Scott
Reds,Biography,7.3,Warren Beatty
On Golden Pond,Drama,7.6,Katharine Hepburn
The Fox and the Hound,Animation,7.3,Mickey Rooney
Chariots of Fire,Biography,7.2,Ben Cross
Absence of Malice,Drama,6.9,Paul Newman
Tarzan the Ape Man,Adventure,3.4,Bo Derek
Victory,Drama,6.7,Michael Caine
Arthur,Comedy,6.9,Dudley Moore
My Dinner with Andre,Biography,7.8,Andre Gregory
Caveman,Comedy,5.8,Ringo Starr
Dead & Buried,Horror,6.6,James Farentino
History of the World: Part I,Comedy,6.9,Mel Brooks
The Howling,Horror,6.6,Dee Wallace
Dragonslayer,Action,6.7,Peter MacNicol
Cutter's Way,Crime,6.9,Jeff Bridges
Quest for Fire,Adventure,7.3,Everett McGill
The Final Conflict,Horror,5.6,Sam Neill
Mommie Dearest,Biography,6.7,Faye Dunaway
Private Lessons,Comedy,5.2,Sylvia Kristel
The Postman Always Rings Twice,Crime,6.6,Jack Nicholson
Ragtime,Drama,7.3,James Cagney
Deadly Blessing,Horror,5.6,Maren Jensen
Eyewitness,Crime,6.0,William Hurt
Gallipoli,Adventure,7.4,Mel Gibson
Outland,Action,6.6,Sean Connery
Southern Comfort,Action,7.2,Keith Carradine
S.O.B.,Comedy,6.4,Julie Andrews
The Beyond,Horror,6.8,Catriona MacColl
Ghost Story,Drama,6.3,Craig Wasson
My Bloody Valentine,Horror,6.3,Paul Kelman
The Funhouse,Horror,5.9,Elizabeth Berridge
One from the Heart,Drama,6.5,Frederic Forrest
The French Lieutenant's Woman,Drama,7.0,Meryl Streep
The Great Muppet Caper,Adventure,7.2,Jim Henson
True Confessions,Crime,6.3,Robert De Niro
Looker,Drama,6.1,Albert Finney
Nighthawks,Action,6.4,Sylvester Stallone
Nice Dreams,Comedy,6.2,Cheech Marin
Sharky's Machine,Action,6.3,Burt Reynolds
Neighbors,Comedy,5.6,John Belushi
Puberty Blues,Comedy,5.9,Nell Schofield
Eye of the Needle,Romance,7.1,Donald Sutherland
Wolfen,Horror,6.3,Albert Finney
Student Bodies,Comedy,5.5,Kristen Riter
Prince of the City,Crime,7.5,Treat Williams
The Hand,Drama,5.5,Michael Caine
Continental Divide,Comedy,6.2,John Belushi
Diva,Music,7.2,Wilhelmenia Fernandez
Venom,Horror,5.8,Klaus Kinski
