track_name,track_artist,playlist_genre,track_popularity
Die With A Smile,"Lady Gaga, Bruno Mars",pop,100
BIRDS OF A FEATHER,Billie Eilish,pop,97
That’s So True,Gracie Abrams,pop,93
Taste,Sabrina Carpenter,pop,81
APT.,"ROSÉ, Bruno Mars",pop,98
"Good Luck, Babe!",Chappell Roan,pop,94
Diet Pepsi,Addison Rae,pop,88
WILDFLOWER,Billie Eilish,pop,93
Sailor Song,Gigi Perez,pop,71
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",pop,92
Guess featuring billie eilish,"Charli xcx, Billie Eilish",pop,85
Please Please Please,Sabrina Carpenter,pop,88
2 hands,Tate McRae,pop,79
A Bar Song (Tipsy),Shaboozey,pop,86
HOT TO GO!,Chappell Roan,pop,88
Disease,Lady Gaga,pop,86
Moonlit Floor (Kiss Me),LISA,pop,82
Love Somebody,Morgan Wallen,pop,86
"I Love You, I'm Sorry",Gracie Abrams,pop,90
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",pop,86
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",pop,88
Espresso,Sabrina Carpenter,pop,90
Mantra,JENNIE,pop,89
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",pop,82
NEW DROP,Don Toliver,pop,85
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",pop,84
Too Sweet,Hozier,pop,77
No One Noticed,The Marías,pop,84
Tu Boda,"Oscar Maydon, Fuerza Regida",pop,93
Stargazing,Myles Smith,pop,88
WHATCHU KNO ABOUT ME (with Sexyy Red),"GloRilla, Sexyy Red",pop,70
we can't be friends (wait for your love),Ariana Grande,pop,81
Beautiful Things,Benson Boone,pop,85
DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",pop,84
Touch,KATSEYE,pop,85
Lose Control,Teddy Swims,pop,89
Belong Together,Mark Ambor,pop,82
Si Antes Te Hubiera Conocido,KAROL G,pop,93
End of Beginning,Djo,pop,89
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",pop,84
Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",pop,89
Not Like Us,Kendrick Lamar,pop,88
Running Wild,Jin,pop,85
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",pop,84
Embrace It,Ndotz,pop,87
The Emptiness Machine,Linkin Park,pop,89
Who,Jimin,pop,92
Hotel California - 2013 Remaster,Eagles,rock,81
Thunderstruck,AC/DC,rock,83
Seven Nation Army,The White Stripes,rock,82
Creep,Radiohead,rock,86
Come As You Are,Nirvana,rock,76
Californication,Red Hot Chili Peppers,rock,81
Sweet Child O' Mine,Guns N' Roses,rock,84
"Paint It, Black",The Rolling Stones,rock,81
Dreams - 2004 Remaster,Fleetwood Mac,rock,84
Everlong,Foo Fighters,rock,81
I Love Rock 'N Roll,Joan Jett & the Blackhearts,rock,77
Dust in the Wind,Kansas,rock,79
"Another Brick in the Wall, Pt. 2",Pink Floyd,rock,74
Runaway,Bon Jovi,rock,72
Basket Case,Green Day,rock,80
Under the Bridge,Red Hot Chili Peppers,rock,82
White Wedding - Pt. 1,Billy Idol,rock,70
You Shook Me All Night Long,AC/DC,rock,81
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,rock,76
Starman - 2012 Remaster,David Bowie,rock,76
Whole Lotta Love - 1990 Remaster,Led Zeppelin,rock,72
Riders on the Storm,The Doors,rock,70
Even Flow,Pearl Jam,rock,77
Born in the U.S.A.,Bruce Springsteen,rock,72
Bitter Sweet Symphony - Remastered 2016,The Verve,rock,79
Don't Cry (Original),Guns N' Roses,rock,75
All Along the Watchtower,Jimi Hendrix,rock,72
In The Air Tonight - 2015 Remastered,Phil Collins,rock,76
Psycho Killer - 2005 Remaster,Talking Heads,rock,76
Are You Gonna Go My Way,Lenny Kravitz,rock,71
Master of Puppets (Remastered),Metallica,rock,70
Everywhere - 2017 Remaster,Fleetwood Mac,rock,79
Have You Ever Seen The Rain,Creedence Clearwater Revival,rock,84
Just What I Needed,The Cars,rock,69
Smells Like Teen Spirit,Nirvana,rock,76
Killing In The Name,Rage Against The Machine,rock,78
Come Together - Remastered 2009,The Beatles,rock,75
Carry on Wayward Son,Kansas,rock,73
Song 2 - 2012 Remaster,Blur,rock,78
Where Is My Mind? - 2007 Remaster,Pixies,rock,76
Should I Stay or Should I Go - Remastered,The Clash,rock,80
Another One Bites The Dust - Remastered 2011,Queen,rock,71
Uprising,Muse,rock,75
For What It's Worth,Buffalo Springfield,rock,76
You Really Got Me - 2015 Remaster,Van Halen,rock,68
Black Hole Sun,Soundgarden,rock,76
Black Magic Woman - Single Version,Santana,rock,70
Fly Away,Lenny Kravitz,rock,73
Message In A Bottle,The Police,rock,75
Heroes - 2017 Remaster,David Bowie,rock,72
Immigrant Song - Remaster,Led Zeppelin,rock,75
Mr. Blue Sky,Electric Light Orchestra,rock,76
Back In Black,AC/DC,rock,83
Barracuda,Heart,rock,74
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,rock,79
Heart-Shaped Box,Nirvana,rock,79
Life in the Fast Lane - 2013 Remaster,Eagles,rock,68
Africa,TOTO,rock,83
(Don't Fear) The Reaper,Blue Öyster Cult,rock,75
1979 - Remastered 2012,The Smashing Pumpkins,rock,77
Comfortably Numb,Pink Floyd,rock,71
Black Dog - Remaster,Led Zeppelin,rock,69
No One Knows,Queens of the Stone Age,rock,69
Long Train Runnin',The Doobie Brothers,rock,69
Loser,Beck,rock,69
American Pie,Don McLean,rock,74
Roxanne,The Police,rock,77
My Sharona,The Knack,rock,69
Walk On the Wild Side,Lou Reed,rock,74
The Boys Are Back In Town,Thin Lizzy,rock,70
Highway to Hell,AC/DC,rock,84
Vienna,Billy Joel,rock,79
Alive,Pearl Jam,rock,73
The Best,Tina Turner,rock,69
Give It Away,Red Hot Chili Peppers,rock,72
Good Riddance (Time of Your Life),Green Day,rock,79
The Boys Of Summer,Don Henley,rock,73
Break on Through (To the Other Side),The Doors,rock,72
Sabotage,Beastie Boys,rock,71
Pour Some Sugar On Me - Remastered 2017,Def Leppard,rock,72
Learn to Fly,Foo Fighters,rock,73
Hit Me With Your Best Shot,Pat Benatar,rock,70
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,rock,73
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,rock,72
London Calling - Remastered,The Clash,rock,70
Wish You Were Here,Pink Floyd,rock,75
Free Fallin',Tom Petty,rock,75
No Rain,Blind Melon,rock,73
Panama - 2015 Remaster,Van Halen,rock,72
Would? (2022 Remaster),Alice In Chains,rock,72
Born to Run,Bruce Springsteen,rock,70
Unforgettable,Nat King Cole,jazz,69
"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato","Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra",classical,68
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Ludwig van Beethoven, Paul Lewis",classical,68
Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",classical,75
HIM ALL ALONG,Gunna,hip-hop,76
Leave Me Alone,BigXthaPlug,hip-hop,71
PLUTOSKI,Future,hip-hop,73
WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",hip-hop,78
Insecurities,Lil Baby,hip-hop,70
Gang Baby,NLE Choppa,hip-hop,72
Help Me,Real Boston Richey,hip-hop,73
No Face,Drake,hip-hop,78
LIL DEMON,Future,hip-hop,77
2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",hip-hop,69
Sorry Not Sorry,"Lil Yachty, Veeze",hip-hop,70
ALL RED,Playboi Carti,hip-hop,81
I CAN’T LET GO,"Lil Tecca, Don Toliver",hip-hop,73
Chill Bae,Lil Uzi Vert,hip-hop,76
2AM,BigXthaPlug,hip-hop,69
It's Up (feat. Young Thug & 21 Savage),"Drake, Young Thug, 21 Savage",hip-hop,76
The Viper,BabyChiefDoit,hip-hop,68
Brokey,Latto,hip-hop,70
25,Rod Wave,hip-hop,76
Or What,"NLE Choppa, 41, Kyle Richh",hip-hop,77
Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",hip-hop,84
Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator, ScHoolboy Q, Santigold",hip-hop,85
FIELD TRIP,"¥$, Playboi Carti, Don Toliver, Kodak Black",hip-hop,72
TEFLON DON,Future,hip-hop,74
Circadian Rhythm,Drake,hip-hop,79
The Largest,BigXthaPlug,hip-hop,68
Light Year (Practice),Lil Uzi Vert,hip-hop,73
Blow for Blow (feat. J. Cole),"Tee Grizzley, J. Cole",hip-hop,69
Rah Tah Tah,"Tyler, The Creator",hip-hop,87
Both Ways,Juice WRLD,hip-hop,73
NISSAN ALTIMA,Doechii,hip-hop,72
Tailor Swif,A$AP Rocky,hip-hop,74
GEEK TIMË,Yeat,hip-hop,72
Many Men (Wish Death),50 Cent,hip-hop,71
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",hip-hop,81
"Bent (with Kyle Richh, Jenn Carter & TaTa)","41, Kyle Richh, Jenn Carter, TaTa",hip-hop,68
Dior,Pop Smoke,hip-hop,76
SAY MY GRACE (feat. Travis Scott),"Offset, Travis Scott",hip-hop,70
6locc 6a6y,Lil Loaded,hip-hop,69
All My Life (feat. J. Cole),"Lil Durk, J. Cole",hip-hop,69
Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",hip-hop,79
Took Her To The O,King Von,hip-hop,78
Loading,Central Cee,hip-hop,70
née-nah,"21 Savage, Travis Scott, Metro Boomin",hip-hop,73
Love Sosa,Chief Keef,hip-hop,77
Drankin N Smokin,"Future, Lil Uzi Vert",hip-hop,70
Invincible,Pop Smoke,hip-hop,71
GATTI,"JACKBOYS, Pop Smoke, Travis Scott",hip-hop,69
The Woo (feat. 50 Cent & Roddy Ricch),"Pop Smoke, 50 Cent, Roddy Ricch",hip-hop,68
Neva Cared,Polo G,hip-hop,68
Mr. Glock,Key Glock,hip-hop,70
Runnin,"21 Savage, Metro Boomin",hip-hop,78
Armed & Dangerous,King Von,hip-hop,72
Coffin,Lil Yachty,hip-hop,70
Ready (feat. Gunna),"Lil Baby, Gunna",hip-hop,69
Russian Cream,Key Glock,hip-hop,69
